,FTIR_Results_,count
308,"['Ketamine'] ['Unknown', 'MDA', 'MDMA'] ",1
309,"['Ketamine'] ['Unknown', 'Cocaine', 'Unknown'] ",1
310,"['Ketamine'] ['Other', 'Other'] ",1
311,['Ketamine'] ['Methamphetamine'] ,1
312,['Ketamine'] ['MDMA'] ['MDMA'],1
313,['Ketamine'] ['MDMA'] ['MDA'],1
314,['Ketamine'] ['MDMA'] ['Ketamine'],1
315,"['Ketamine'] ['MDMA'] ['Ketamine', 'Other']",1
316,['Ketamine'] ['MDMA'] ['Cocaine'],1
317,"['Ketamine'] ['MDMA'] ['Cocaine', 'Unknown', 'Unknown']",1
318,"['Ketamine'] ['MDMA', 'Unknown'] ['MDMA']",1
319,"['Ketamine'] ['MDMA', 'Unknown'] ['MDMA', 'Unknown', 'Ketamine']",1
320,"['Ketamine'] ['MDMA', 'Unknown'] ['Ketamine', 'Unknown']",1
321,"['Ketamine'] ['MDMA', 'Ketamine'] ",1
322,"['Ketamine'] ['MDA', 'Unknown'] ['MDMA', 'Unknown']",1
323,"['Ketamine'] ['MDA', 'Unknown', 'Unknown'] ['MDA']",1
324,"['Ketamine'] ['MDA', 'MDMA'] ",1
325,"['Ketamine'] ['MDA', 'MDMA'] ['MDMA']",1
326,"['Ketamine'] ['Ketamine'] ['MDMA', 'Unknown']",1
327,['Ketamine'] ['Ketamine'] ['Ketamine'],1
328,"['Ketamine'] ['Ketamine'] ['Ketamine', 'Unknown']",1
329,"['Ketamine'] ['Ketamine', 'Cocaine'] ['Cocaine']",1
330,"['Ketamine'] ['Cocaine'] ['MDMA', 'Unknown']",1
331,['Ketamine'] ['Cocaine'] ['MDA'],1
332,['Ketamine'] ['Cocaine'] ['Ketamine'],1
333,"['Ketamine'] ['Cocaine', 'Ketamine'] ",1
334,"['Ketamine', 'Unknown'] ['MDMA'] ['Ketamine', 'Unknown']",1
335,"['Ketamine', 'Unknown'] ['MDMA', 'Unknown'] ",1
336,"['Ketamine', 'Unknown'] ['Ketamine'] ['Ketamine']",1
337,"['Ketamine', 'Unknown'] ['Ketamine', 'Unknown'] ['Ketamine', 'Other']",1
338,"['Ketamine', 'Unknown'] ['Ketamine', 'Unknown'] ['Cocaine']",1
339,"['Ketamine', 'Unknown', 'Other'] ['Cocaine', 'Unknown', 'Unknown'] ",1
340,"['Ketamine', 'Unknown', 'Methamphetamine'] ['MDMA', 'Unknown'] ",1
341,"['Ketamine', 'Other'] ['Unknown', 'Unknown'] ",1
342,"['Ketamine', 'Other'] ['Unknown', 'Other'] ['Unknown', 'Other']",1
343,"['Ketamine', 'Other'] ['Unknown', 'Other'] ['MDMA', 'Other']",1
344,"['Ketamine', 'Other'] ['MDMA'] ['Ketamine']",1
345,"['Ketamine', 'Other'] ['MDMA', 'Ketamine', 'Other'] ",1
346,"['Ketamine', 'Other'] ['Ketamine', 'Other'] ['MDMA', 'Other']",1
347,"['Ketamine', 'Other'] ['Cocaine', 'Other'] ",1
348,"['Ketamine', 'Other'] ['Cocaine', 'Other'] ['MDMA', 'Other']",1
349,"['Ketamine', 'Methamphetamine'] ['Cocaine', 'Unknown'] ",1
350,"['Ketamine', 'MDMA', 'Unknown'] ['MDMA', 'Other'] ",1
351,"['Ketamine', 'Cocaine'] ['MDMA'] ",1
352,"['Cocaine'], ['MDMA', 'Unknown'], ['MDMA'],",1
353,"['Cocaine'], ['Ketamine'], ['MDMA', 'Ketamine'],",1
354,"['Cocaine'], ['Cocaine', 'Unknown'],['Ketamine'] ['Ketamine'],",1
355,"['Cocaine'],['Other'] ['MDMA', 'Unknown'],['MDA'] ['Ketamine', 'Unknown', 'Unknown'],",1
356,"['Cocaine'],['MDMA'] ,['Unknown'] ['Ketamine'],",1
357,"['Cocaine'],['MDMA'] ['Unknown'],['MDA'] ['Ketamine'],",1
358,"['Cocaine'],['MDMA'] ['Cocaine'], ['Ketamine'],",1
359,"['Cocaine'],['MDMA', 'Unknown'] ['Unknown', 'Cocaine'], ['Ketamine', 'Unknown'],",1
360,"['Cocaine'],['MDMA', 'MDA'] ['Cocaine', 'Unknown'],['Ketamine', 'Unknown'] ['Ketamine'],['MDMA', 'Unknown']",1
361,"['Cocaine'],['Ketamine'] ['Ketamine'],['Ketamine'] ,",1
362,"['Cocaine'],['Ketamine'] ['Cocaine'], ['Ketamine'],",1
363,"['Cocaine'],['Cocaine'] ['Ketamine'], ['MDMA'],",1
364,['Cocaine'] ['Unknown'] ,1
365,"['Cocaine'] ['MDMA'] ['Unknown', 'Unknown']",1
366,['Cocaine'] ['MDMA'] ['MDMA'],1
367,['Cocaine'] ['MDMA'] ['Ketamine'],1
368,['Cocaine'] ['MDA'] ['MDMA'],1
369,"['Cocaine'] ['MDA'] ['MDA', 'Unknown']",1
370,"['Cocaine'] ['MDA', 'MDMA'] ['MDMA', 'Unknown']",1
371,['Cocaine'] ['Ketamine'] ['Ketamine'],1
372,"['Cocaine'] ['Ketamine'] ['Cocaine', 'Unknown']",1
373,"['Cocaine'] ['Ketamine', 'Unknown'] ",1
374,"['Cocaine'] ['Cocaine'] ['Unknown', 'Cocaine']",1
375,['Cocaine'] ['Cocaine'] ['Ketamine'],1
376,['Cocaine'] ['Cocaine'] ['Cocaine'],1
